"名称","個別医薬品コード","長径","短径","直径","厚さ"
"コンスタン0.4mg錠","1124023F1029","","","6.6mm","2.5mm"
"アルプラゾラム錠0.4mg「トーワ」","1124023F1100","","","6.5mm","2.5mm"
"アルプラゾラム錠0.4mg「サワイ」","1124023F1118","","","6.0mm","2.4mm"
"アルプラゾラム錠0.4mg「アメル」","1124023F1126","","","約6.0mm","約2.1mm"
"コンスタン0.8mg錠","1124023F2025","","","7.1mm","2.7mm"
"アルプラゾラム錠0.8mg「トーワ」","1124023F2050","","","7.0mm","2.7mm"
"アルプラゾラム錠0.8mg「サワイ」","1124023F2076","","","7.1mm","2.7mm"
"アルプラゾラム錠0.8mg「アメル」","1124023F2084","","","約7.5mm","約2.7mm"
"コレミナール錠4mg","1124024F1031","","","7.0mm","3.2mm"
"メレックス錠0.5mg","1124025F1028","","","6.5mm","1.9mm"
"メレックス錠1mg","1124025F2024","","","7.0mm","2.2mm"
"トフィソパム錠50mg「サワイ」","1124026F1332","","","7.0mm","2.4mm"
"トフィソパム錠50mg「トーワ」","1124026F1340","","","8.0mm","3.0mm"
"5mgコントール錠","1124028F1030","","","5.7mm","3.3mm"
"バランス錠5mg","1124028F1048","","","5.7mm","3.2mm"
"クロルジアゼポキシド錠5mg「ツルハラ」","1124028F1056","","","約5.7mm","約3.5mm"
"10mgコントール錠","1124028F2036","","","7.5mm","4.1mm"
"バランス錠10mg","1124028F2079","","","6.9mm","4.3mm"
"クロルジアゼポキシド錠10mg「ツルハラ」","1124028F2087","","","約7.0mm","約4.3mm"
"メイラックス錠1mg","1124029F1026","","","6.35（mm）","2.5（mm）"
"ロフラゼプ酸エチル錠1mg「サワイ」","1124029F1123","","","6.0mm","2.4mm"
"ロフラゼプ酸エチル錠1mg「トーワ」","1124029F1131","","","6.5mm","2.3mm"
"ロフラゼプ酸エチル錠1mg「SN」","1124029F1140","","","6.5mm","2.3mm"
"メイラックス錠2mg","1124029F2022","","","6.35（mm）","2.5（mm）"
"ロフラゼプ酸エチル錠2mg「サワイ」","1124029F2090","","","6.0mm","2.4mm"
"ロフラゼプ酸エチル錠2mg「トーワ」","1124029F2103","","","6.0mm","2.5mm"
"ロフラゼプ酸エチル錠2mg「SN」","1124029F2111","","","6.5mm","2.3mm"
"ドラール錠15","1124030F1029","","","8.5mm","2.8mm"
"クアゼパム錠15mg「YD」","1124030F1045","","","約7mm","約2.3mm"
"クアゼパム錠15mg「アメル」","1124030F1053","","","約7.0mm","約2.4mm"
"クアゼパム錠15mg「トーワ」","1124030F1061","","","7.5mm","2.6mm"
"クアゼパム錠15mg「日医工」","1124030F1070","","","7.0mm","2.4mm"
"クアゼパム錠15mg「サワイ」","1124030F1088","","","8.5mm","2.8mm"
"ドラール錠20","1124030F2025","","","9.0mm","3.3mm"
"クアゼパム錠20mg「YD」","1124030F2041","","","約7.5mm","約3.2mm"
"クアゼパム錠20mg「トーワ」","1124030F2050","","","8.0mm","3.0mm"
"クアゼパム錠20mg「アメル」","1124030F2068","","","約7.5mm","約2.8mm"
"クアゼパム錠20mg「サワイ」","1124030F2076","","","9.0mm","3.4mm"
"クアゼパム錠20mg「日医工」","1124030F2084","","","7.5mm","2.8mm"
"ラボナ錠50mg","1125006F1030","","","7.0mm","3.3mm"
"リスミー錠1mg","1129006F1021","","","約7.0mm","約2.4mm"
"リスミー錠2mg","1129006F2028","","","約7.0mm","約2.4mm"
"アモバン錠7.5","1129007F1026","10mm","5mm","","約3mm"
"ゾピクロン錠7.5mg「トーワ」","1129007F1107","10.2mm","5.2mm","","3.8mm"
"ゾピクロン錠7.5mg「サワイ」","1129007F1123","","","10.2mm×5.2mm","3.7mm"
"アモバン錠10","1129007F2022","10mm","5mm","","約3mm"
"ゾピクロン錠10mg「トーワ」","1129007F2073","","","7.2mm","3.4mm"
"ゾピクロン錠10mg「サワイ」","1129007F2103","","","7.2mm","3.4mm"
"セディール錠5mg","1129008F1039","","","約6.1mm","約2.7mm"
"タンドスピロンクエン酸塩錠5mg「アメル」","1129008F1047","","","約6.2mm","約2.6mm"
"タンドスピロンクエン酸塩錠5mg「サワイ」","1129008F1055","","","6.1mm","2.8mm"
"タンドスピロンクエン酸塩錠5mg「トーワ」","1129008F1063","","","6.1mm","2.7mm"
"セディール錠10mg","1129008F2035","","","約6.1mm","約2.7mm"
"タンドスピロンクエン酸塩錠10mg「トーワ」","1129008F2043","","","6.1mm","2.8mm"
"タンドスピロンクエン酸塩錠10mg「アメル」","1129008F2051","","","約6.2mm","約2.6mm"
"タンドスピロンクエン酸塩錠10mg「サワイ」","1129008F2060","","","6.1mm","2.8mm"
"セディール錠20mg","1129008F3023","","","約8.1mm","約3.1mm"
"タンドスピロンクエン酸塩錠20mg「トーワ」","1129008F3031","","","8.1mm","3.3mm"
"タンドスピロンクエン酸塩錠20mg「アメル」","1129008F3040","","","約8.2mm","約3.1mm"
"タンドスピロンクエン酸塩錠20mg「サワイ」","1129008F3058","","","8.1mm","3.2mm"
"マイスリー錠5mg","1129009F1025","","","約6.6mm","約2.7mm"
"ゾルピデム酒石酸塩錠5mg「AFP」","1129009F1041","","","6.5mm","2.6mm"
"ゾルピデム酒石酸塩錠5mg「DSEP」","1129009F1068","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「NP」","1129009F1149","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「TCK」","1129009F1165","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「YD」","1129009F1173","","","約6.6mm","約2.7mm"
"ゾルピデム酒石酸塩錠5mg「ZE」","1129009F1181","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「アメル」","1129009F1203","","","約6.6mm","約2.7mm"
"ゾルピデム酒石酸塩錠5mg「オーハラ」","1129009F1211","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「杏林」","1129009F1220","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「ケミファ」","1129009F1238","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「サワイ」","1129009F1246","","","6.6mm","2.8mm"
"ゾルピデム酒石酸塩錠5mg「トーワ」","1129009F1289","","","6.6mm","2.6mm"
"ゾルピデム酒石酸塩錠5mg「日医工」","1129009F1297","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「明治」","1129009F1335","","","6.6（mm）","2.7（mm）"
"ゾルピデム酒石酸塩錠5mg「クニヒロ」","1129009F1343","","","6.6mm","2.6mm"
"ゾルピデム酒石酸塩錠5mg「NPI」","1129009F1360","","","6.6mm","2.7mm"
"ゾルピデム酒石酸塩錠5mg「NIG」","1129009F1378","","","6.6mm","2.7mm"
"マイスリー錠10mg","1129009F2021","","","約8.6mm","約3.3mm"
"ゾルピデム酒石酸塩錠10mg「AFP」","1129009F2048","","","8.5mm","3.0mm"
"ゾルピデム酒石酸塩錠10mg「DSEP」","1129009F2064","","","8.6mm","3.3mm"
"ゾルピデム酒石酸塩錠10mg「NP」","1129009F2145","","","8.6mm","3.4mm"
"ゾルピデム酒石酸塩錠10mg「TCK」","1129009F2161","","","8.6mm","3.3mm"
"ゾルピデム酒石酸塩錠10mg「YD」","1129009F2170","","","約8.6mm","約3.3mm"
"ゾルピデム酒石酸塩錠10mg「ZE」","1129009F2188","","","8.6mm","3.4mm"
"ゾルピデム酒石酸塩錠10mg「アメル」","1129009F2200","","","約8.6mm","約3.4mm"
"ゾルピデム酒石酸塩錠10mg「オーハラ」","1129009F2218","","","8.6mm","3.4mm"
"ゾルピデム酒石酸塩錠10mg「杏林」","1129009F2226","","","8.6mm","3.4mm"
"ゾルピデム酒石酸塩錠10mg「ケミファ」","1129009F2234","","","8.6mm","3.3mm"
"ゾルピデム酒石酸塩錠10mg「サワイ」","1129009F2242","","","8.6mm","3.3mm"
"ゾルピデム酒石酸塩錠10mg「トーワ」","1129009F2285","","","8.7mm","3.3mm"
"ゾルピデム酒石酸塩錠10mg「日医工」","1129009F2293","","","7.1mm","3.2mm"
"ゾルピデム酒石酸塩錠10mg「明治」","1129009F2331","","","8.6（mm）","3.2（mm）"
"ゾルピデム酒石酸塩錠10mg「クニヒロ」","1129009F2340","","","8.6mm","3.2mm"
"ゾルピデム酒石酸塩錠10mg「NPI」","1129009F2366","","","8.6mm","3.4mm"
"ゾルピデム酒石酸塩錠10mg「NIG」","1129009F2374","","","8.6mm","3.2mm"
"ゾルピデム酒石酸塩OD錠5mg「サワイ」","1129009F3044","","","6.5mm","2.7mm"
"ゾルピデム酒石酸塩OD錠5mg「トーワ」","1129009F3060","","","7.0mm","3.4mm"
"ゾルピデム酒石酸塩OD錠5mg「日医工」","1129009F3079","","","6.5mm","2.5mm"
"ゾルピデム酒石酸塩OD錠10mg「サワイ」","1129009F4040","","","8.5mm","3.3mm"
"ゾルピデム酒石酸塩OD錠10mg「トーワ」","1129009F4067","","","9.0mm","4.2mm"
"ゾルピデム酒石酸塩OD錠10mg「日医工」","1129009F4075","","","8.0mm","3.3mm"
"エスゾピクロン錠1mg「DSEP」","1129010F1036","","","6.1mm","2.8mm"
"エスゾピクロン錠1mg「NPI」","1129010F1052","","","6.44mm","3.1mm"
"エスゾピクロン錠1mg「TCK」","1129010F1060","","","6.6mm","3.2mm"
"エスゾピクロン錠1mg「YD」","1129010F1079","","","約6.1mm","約2.8mm"
"エスゾピクロン錠1mg「アメル」","1129010F1087","","","約6.4mm","約3.1mm"
"エスゾピクロン錠1mg「杏林」","1129010F1095","","","6.6mm","3.2mm"
"エスゾピクロン錠1mg「ケミファ」","1129010F1109","","","6.44mm","3.1mm"
"エスゾピクロン錠1mg「サワイ」","1129010F1117","","","6.5mm","3.2mm"
"エスゾピクロン錠1mg「トーワ」","1129010F1125","","","6.1mm","2.8mm"
"エスゾピクロン錠1mg「ニプロ」","1129010F1141","","","6.6mm","3.2mm"
"エスゾピクロン錠1mg「明治」","1129010F1150","","","6.1（mm）","2.7（mm）"
"エスゾピクロン錠1mg「日医工」","1129010F1168","","","6.1mm","2.8mm"
"エスゾピクロン錠2mg「DSEP」","1129010F2032","","","6.1mm","2.8mm"
"エスゾピクロン錠2mg「NPI」","1129010F2059","","","6.44mm","3.1mm"
"エスゾピクロン錠2mg「TCK」","1129010F2067","","","6.6mm","3.2mm"
"エスゾピクロン錠2mg「YD」","1129010F2075","","","約6.1mm","約2.8mm"
"エスゾピクロン錠2mg「アメル」","1129010F2083","","","約6.4mm","約3.1mm"
"エスゾピクロン錠2mg「杏林」","1129010F2091","","","6.6mm","3.2mm"
"エスゾピクロン錠2mg「ケミファ」","1129010F2105","","","6.44mm","3.1mm"
"エスゾピクロン錠2mg「サワイ」","1129010F2113","","","6.5mm","3.2mm"
"エスゾピクロン錠2mg「トーワ」","1129010F2121","","","6.1mm","2.8mm"
"エスゾピクロン錠2mg「ニプロ」","1129010F2148","","","6.6mm","3.2mm"
"エスゾピクロン錠2mg「明治」","1129010F2156","","","6.1（mm）","2.8（mm）"
"エスゾピクロン錠2mg「日医工」","1129010F2164","","","6.1mm","2.8mm"
"エスゾピクロン錠3mg「DSEP」","1129010F3039","","","6.1mm","2.8mm"
"エスゾピクロン錠3mg「NPI」","1129010F3055","","","6.44mm","3.1mm"
"エスゾピクロン錠3mg「TCK」","1129010F3063","","","6.6mm","3.2mm"
"エスゾピクロン錠3mg「YD」","1129010F3071","","","約6.1mm","約2.8mm"
"エスゾピクロン錠3mg「アメル」","1129010F3080","","","約6.4mm","約3.1mm"
"エスゾピクロン錠3mg「杏林」","1129010F3098","","","6.6mm","3.2mm"
"エスゾピクロン錠3mg「ケミファ」","1129010F3101","","","6.44mm","3.1mm"
"エスゾピクロン錠3mg「サワイ」","1129010F3110","","","6.5mm","3.2mm"
"エスゾピクロン錠3mg「トーワ」","1129010F3128","","","6.1mm","2.8mm"
"エスゾピクロン錠3mg「ニプロ」","1129010F3144","","","6.6mm","3.2mm"
"エスゾピクロン錠3mg「明治」","1129010F3152","","","6.1（mm）","2.8（mm）"
"エスゾピクロン錠3mg「日医工」","1129010F3160","","","6.1mm","2.8mm"
"クランポール錠200mg","1131001F1035","","","約9.5mm","約3.9mm"
"アレビアチン錠25mg","1132002F1037","","","約6.5mm","約3.0mm"
"アレビアチン錠100mg","1132002F2041","","","約9mm","約3.4mm"
"プリミドン錠250mg「日医工」","1135002F1055","","","9.5mm","4.6mm"
"オスポロット錠50mg","1137001F1039","","","約6.1mm","約2.95mm"
"オスポロット錠200mg","1137001F2035","","","約10.1mm","約4.95mm"
"カルバマゼピン錠200mg「アメル」","1139002F1070","","","約9.0mm","約4.3mm"
"カルバマゼピン錠100mg「アメル」","1139002F2042","","","約8.0mm","約2.3mm"
"ランドセン錠0.5mg","1139003F1059","","","約8mm","約2.3mm"
"ランドセン錠1mg","1139003F2055","","","約8mm","約2.3mm"
"ランドセン錠2mg","1139003F3051","","","約8mm","約2.3mm"
"バルプロ酸ナトリウム錠100mg「アメル」","1139004F1088","","","約8.1mm","約3.6mm"
"デパケン錠100mg","1139004F1096","","","8.2mm","4.2mm"
"バルプロ酸ナトリウム錠100mg「DSP」","1139004F1126","","","約8.1mm","約4.3mm"
"バルプロ酸ナトリウム錠200mg「アメル」","1139004F2165","","","約10.1mm","約5.0mm"
"デパケン錠200mg","1139004F2173","","","9.2mm","4.9mm"
"バルプロ酸ナトリウム錠200mg「DSP」","1139004F2203","","","約10.1mm","約5.3mm"
"デパケンR錠100mg","1139004G1040","","","8.3mm","5.4mm"
"バルプロ酸ナトリウムSR錠100mg「アメル」","1139004G1067","","","約8.4mm","約5.7mm"
"バルプロ酸ナトリウム徐放錠A100mg「トーワ」","1139004G1075","","","8.4mm","5.6mm"
"バルプロ酸ナトリウムSR錠200mg「アメル」","1139004G2055","","","約10.5mm","約6.4mm"
"デパケンR錠200mg","1139004G2063","","","10.6mm","6.6mm"
"バルプロ酸ナトリウム徐放錠A200mg「トーワ」","1139004G2080","","","10.5mm","6.6mm"
"エクセグラン錠100mg","1139005F1023","","","約8.1mm","約3.7mm"
"ゾニサミド錠100mg「アメル」","1139005F1040","","","約8.1mm","約3.8mm"
"ゾニサミド錠100mgEX「KO」","1139005F1058","","","約8mm","約3.6mm"
"マイスタン錠5mg","1139006F1028","","","約6.5mm","約2.3mm"
"マイスタン錠10mg","1139006F2024","","","約7mm","約2.5mm"
"トピラマート錠50mg「アメル」","1139008F1035","","","約7.1mm","約3.2mm"
"トピラマート錠100mg「アメル」","1139008F2031","","","約8.1mm","約3.6mm"
"トピラマート錠25mg「アメル」","1139008F3038","","","約5.6mm","約2.6mm"
"ラモトリギン錠小児用2mg「サワイ」","1139009F1030","","","4.8mm","1.6mm"
"ラモトリギン錠小児用2mg「トーワ」","1139009F1048","","","5.0mm","2.0mm"
"ラモトリギン錠小児用2mg「日医工」","1139009F1056","","","4.8mm","1.5mm"
"ラモトリギン錠小児用2mg「アメル」","1139009F1072","","","約4.8mm","約1.6mm"
"ラモトリギン錠小児用5mg「サワイ」","1139009F2036","","","8.0mm×4.0mm","2.6mm"
"ラモトリギン錠小児用5mg「トーワ」","1139009F2044","8.0mm","4.0mm","","2.6mm"
"ラモトリギン錠小児用5mg「日医工」","1139009F2052","","","8.1×4.1mm","2.4mm"
"ラモトリギン錠小児用5mg「アメル」","1139009F2079","約8.0mm","約4.0mm","","約2.6mm"
"ラモトリギン錠25mg「アメル」","1139009F3040","","","約5.3mm","約2.0mm"
"ラモトリギン錠25mg「サワイ」","1139009F3059","","","5.2mm×5.2mm","2.0mm"
"ラモトリギン錠25mg「トーワ」","1139009F3067","","","6.0mm","2.8mm"
"ラモトリギン錠25mg「日医工」","1139009F3075","","","4.8mm","2.0mm"
"ラモトリギン錠100mg「アメル」","1139009F4047","","","約8.4mm","約3.2mm"
"ラモトリギン錠100mg「サワイ」","1139009F4055","","","8.3mm×8.3mm","3.2mm"
"ラモトリギン錠100mg「トーワ」","1139009F4063","","","8.5mm","4.2mm"
"ラモトリギン錠100mg「日医工」","1139009F4071","","","8.4mm","3.2mm"
"イーケプラ錠250mg","1139010F1024","約12.8mm","約6.0mm","","約4.6mm"
"レベチラセタム錠250mg「アメル」","1139010F1059","約12.8mm","約6.0mm","","約4.7mm"
"レベチラセタム錠250mg「杏林」","1139010F1067","12.8mm","6.0mm","","4.5mm"
"レベチラセタム錠250mg「サワイ」","1139010F1075","","","12.8mm×6.0mm","4.6mm"
"レベチラセタム錠250mg「トーワ」","1139010F1091","12.8mm","6.0mm","","4.6mm"
"レベチラセタム錠250mg「日医工」","1139010F1105","","","12.9×6.1mm","4.6mm"
"レベチラセタム錠250mg「日新」","1139010F1113","12.9mm","6.1mm","",""
"レベチラセタム錠250mg「明治」","1139010F1130","12.9（mm）","6.1（mm）","","4.7（mm）"
"レベチラセタム錠250mg「サンド」","1139010F1148","12.6mm","6.6mm","","5.0mm"
"イーケプラ錠500mg","1139010F2020","約16.4mm","約7.7mm","","約5.8mm"
"レベチラセタム錠500mg「アメル」","1139010F2055","約16.4mm","約7.6mm","","約6.0mm"
"レベチラセタム錠500mg「杏林」","1139010F2063","16.5mm","7.7mm","","5.6mm"
"レベチラセタム錠500mg「サワイ」","1139010F2071","","","16.4mm×7.7mm","5.8mm"
"レベチラセタム錠500mg「トーワ」","1139010F2098","16.4mm","7.7mm","","5.8mm"
"レベチラセタム錠500mg「日医工」","1139010F2101","","","16.5×7.8mm","5.7mm"
"レベチラセタム錠500mg「日新」","1139010F2110","16.5mm","7.8mm","",""
"レベチラセタム錠500mg「明治」","1139010F2136","16.5（mm）","7.8（mm）","","5.8（mm）"
"レベチラセタム錠500mg「サンド」","1139010F2144","16.1mm","8.1mm","","6.3mm"
"レベチラセタム粒状錠250mg「サワイ」","1139010F3027","","","2.1mm","2.1mm"
"レベチラセタム粒状錠500mg「サワイ」","1139010F4023","","","2.1mm","2.1mm"
"ディアコミットカプセル250mg","1139011M1028","18.1（mm）","6.1（mm）","",""
"イノベロン錠100mg","1139012F1023","10.2mm","5.4mm","","4.0mm"
"イノベロン錠200mg","1139012F2020","15.2mm","6.2mm","","4.5mm"
"フィコンパ錠2mg","1139014F1022","","","6.6mm","3.1mm"
"フィコンパ錠4mg","1139014F2029","","","8.1mm","4.2mm"
"ビムパット錠50㎎","1139015F1027","約10.4mm","約4.9mm","","約3.2mm"
"ビムパット錠100㎎","1139015F2023","約13.1mm","約6.1mm","","約4.1mm"
"ブリィビアクト錠25mg","1139017F1026","約8.9mm","約5.0mm","","約3.4mm"
"ブリィビアクト錠50mg","1139017F2022","約11.7mm","約6.6mm","","約4.0mm"
"ラコサミド錠50mg「サワイ」","11390A4F1030","","","9.2mm×4.3mm","3.0mm"
"ラコサミド錠50mg「アメル」","11390A4F1073","約10.4mm","約4.9mm","","約3.1mm"
"ラコサミド錠50mg「YD」","11390A4F1081","約10.4mm","約4.9mm","","約3.1mm"
"ラコサミド錠50mg「日新」","11390A4F1090","10.4mm","4.9mm","",""
"ラコサミド錠50mg「ケミファ」","11390A4F1111","10.4mm","4.9mm","","3.3mm"
"ラコサミド錠100mg「サワイ」","11390A4F2037","","","12.2mm×5.6mm","3.5mm"
"ラコサミド錠100mg「アメル」","11390A4F2070","約13.1mm","約6.1mm","","約4.1mm"
"ラコサミド錠100mg「YD」","11390A4F2088","約13.1mm","約6.1mm","","約4.1mm"
"ラコサミド錠100mg「日新」","11390A4F2096","13.1mm","6.1mm","",""
"ラコサミド錠100mg「ケミファ」","11390A4F2118","13.1mm","6.1mm","","4.2mm"
"複合アレビアチン配合錠","1139100F1037","","","約8mm","約3.5mm"
"カロナール錠200","1141007F1063","","","10.0mm","3.3mm"
"アセトアミノフェン錠200mg「JG」","1141007F1152","","","9.0mm","3.5mm"
"アセトアミノフェン錠200mg「トーワ」","1141007F1187","","","9.0mm","3.5mm"
"アセトアミノフェン錠200mg「マルイシ」","1141007F1195","","","8.2mm","3.7mm"
"アセトアミノフェン錠200mg「三和」","1141007F1209","","","8.50mm","3.40mm"
"アセトアミノフェン錠200mg「TCK」","1141007F1225","","","9.0mm","3.6mm"
"アセトアミノフェン錠200mg「NIG」","1141007F1233","9.0mm","","","3.1mm"
"カロナール錠300","1141007F2027","","","10.0mm","4.0mm"
"アセトアミノフェン錠300mg「JG」","1141007F2043","","","10.0mm","4.1mm"
"アセトアミノフェン錠300mg「マルイシ」","1141007F2051","","","9.0mm","4.6mm"
"カロナール錠500","1141007F3023","15.0mm","8.0mm","","5.9mm"
"アセトアミノフェン錠500mg「マルイシ」","1141007F3031","15.5mm","8.0mm","","5.3mm"
"アセトアミノフェン坐剤小児用50mg「日新」","1141700J1126","","","8mm",""
"アセトアミノフェン坐剤小児用50mg「シオエ」","1141700J1134","","","","8mm"
"アセトアミノフェン坐剤小児用50mg「NIG」","1141700J1142","","","8mm",""
"アセトアミノフェン坐剤小児用100mg「日新」","1141700J2190","","","8mm",""
"アセトアミノフェン坐剤小児用100mg「シオエ」","1141700J2203","","","","8mm"
"アセトアミノフェン坐剤小児用100mg「NIG」","1141700J2211","","","8mm",""
"アセトアミノフェン坐剤小児用200mg「日新」","1141700J3161","","","9mm",""
"アセトアミノフェン坐剤小児用200mg「シオエ」","1141700J3170","","","","10mm"
"アセトアミノフェン坐剤小児用200mg「NIG」","1141700J3188","","","9mm",""
"インフリーSカプセル200mg","1145005M2026","13.1mm","8.1mm","",""
"インドメタシン坐剤25「NP」","1145700J2300","23.5mm","8.5mm","",""
"インドメタシン坐剤50「NP」","1145700J3390","26.0mm","9.5mm","",""
"ジクロフェナクNa錠25mg「YD」","1147002F1617","","","約7mm","約3.3mm"
"ジクロフェナクNa錠25mg「トーワ」","1147002F1625","","","7.1mm","3.4mm"
"ジクロフェナクNa錠25mg「TCK」","1147002F1641","","","7.1mm","3.5mm"
"ジクロフェナクNa錠25mg「サワイ」","1147002F1650","","","7.1mm","3.7mm"
"ジクロフェナクNa錠25mg「ツルハラ」","1147002F1668","","","約7.1mm","約3.8mm"
