"名称","個別医薬品コード","長径","短径","直径","厚さ"
"バランス錠5mg","1124028F1048","","","5.7","3.2"
"クロルジアゼポキシド錠5mg「ツルハラ」","1124028F1056","","","5.7","3.5"
"10mgコントール錠","1124028F2036","","","7.5","4.1"
"バランス錠10mg","1124028F2079","","","6.9","4.3"
"クロルジアゼポキシド錠10mg「ツルハラ」","1124028F2087","","","7.0","4.3"
"メイラックス錠1mg","1124029F1026","","","6.35","2.5"
"ロフラゼプ酸エチル錠1mg「サワイ」","1124029F1123","","","6.0","2.4"
"ロフラゼプ酸エチル錠1mg「トーワ」","1124029F1131","","","6.5","2.3"
"ロフラゼプ酸エチル錠1mg「SN」","1124029F1140","","","6.5","2.3"
"メイラックス錠2mg","1124029F2022","","","6.35","2.5"
"ロフラゼプ酸エチル錠2mg「サワイ」","1124029F2090","","","6.0","2.4"
"ロフラゼプ酸エチル錠2mg「トーワ」","1124029F2103","","","6.0","2.5"
"ロフラゼプ酸エチル錠2mg「SN」","1124029F2111","","","6.5","2.3"
"ドラール錠15","1124030F1029","","","8.5","2.8"
"クアゼパム錠15mg「YD」","1124030F1045","","","7","2.3"
"クアゼパム錠15mg「アメル」","1124030F1053","","","7.0","2.4"
"クアゼパム錠15mg「トーワ」","1124030F1061","","","7.5","2.6"
"クアゼパム錠15mg「日医工」","1124030F1070","","","7.0","2.4"
"クアゼパム錠15mg「サワイ」","1124030F1088","","","8.5","2.8"
"ドラール錠20","1124030F2025","","","9.0","3.3"
"クアゼパム錠20mg「YD」","1124030F2041","","","7.5","3.2"
"クアゼパム錠20mg「トーワ」","1124030F2050","","","8.0","3.0"
"クアゼパム錠20mg「アメル」","1124030F2068","","","7.5","2.8"
"クアゼパム錠20mg「サワイ」","1124030F2076","","","9.0","3.4"
"クアゼパム錠20mg「日医工」","1124030F2084","","","7.5","2.8"
"ラボナ錠50mg","1125006F1030","","","7.0","3.3"
"リスミー錠1mg","1129006F1021","","","7.0","2.4"
"リスミー錠2mg","1129006F2028","","","7.0","2.4"
"アモバン錠7.5","1129007F1026","10","5","","3"
"ゾピクロン錠7.5mg「トーワ」","1129007F1107","10.2","5.2","","3.8"
"ゾピクロン錠7.5mg「サワイ」","1129007F1123","","","10.2","3.7"
"アモバン錠10","1129007F2022","10","5","","3"
"ゾピクロン錠10mg「トーワ」","1129007F2073","","","7.2","3.4"
"ゾピクロン錠10mg「サワイ」","1129007F2103","","","7.2","3.4"
"セディール錠5mg","1129008F1039","","","6.1","2.7"
"タンドスピロンクエン酸塩錠5mg「アメル」","1129008F1047","","","6.2","2.6"
"タンドスピロンクエン酸塩錠5mg「サワイ」","1129008F1055","","","6.1","2.8"
"タンドスピロンクエン酸塩錠5mg「トーワ」","1129008F1063","","","6.1","2.7"
"セディール錠10mg","1129008F2035","","","6.1","2.7"
"タンドスピロンクエン酸塩錠10mg「トーワ」","1129008F2043","","","6.1","2.8"
"タンドスピロンクエン酸塩錠10mg「アメル」","1129008F2051","","","6.2","2.6"
"タンドスピロンクエン酸塩錠10mg「サワイ」","1129008F2060","","","6.1","2.8"
"セディール錠20mg","1129008F3023","","","8.1","3.1"
"タンドスピロンクエン酸塩錠20mg「トーワ」","1129008F3031","","","8.1","3.3"
"タンドスピロンクエン酸塩錠20mg「アメル」","1129008F3040","","","8.2","3.1"
"タンドスピロンクエン酸塩錠20mg「サワイ」","1129008F3058","","","8.1","3.2"
"マイスリー錠5mg","1129009F1025","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「AFP」","1129009F1041","","","6.5","2.6"
"ゾルピデム酒石酸塩錠5mg「DSEP」","1129009F1068","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「NP」","1129009F1149","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「TCK」","1129009F1165","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「YD」","1129009F1173","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「ZE」","1129009F1181","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「アメル」","1129009F1203","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「オーハラ」","1129009F1211","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「杏林」","1129009F1220","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「ケミファ」","1129009F1238","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「サワイ」","1129009F1246","","","6.6","2.8"
"ゾルピデム酒石酸塩錠5mg「トーワ」","1129009F1289","","","6.6","2.6"
"ゾルピデム酒石酸塩錠5mg「日医工」","1129009F1297","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「明治」","1129009F1335","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「クニヒロ」","1129009F1343","","","6.6","2.6"
"ゾルピデム酒石酸塩錠5mg「NPI」","1129009F1360","","","6.6","2.7"
"ゾルピデム酒石酸塩錠5mg「NIG」","1129009F1378","","","6.6","2.7"
"マイスリー錠10mg","1129009F2021","","","8.6","3.3"
"ゾルピデム酒石酸塩錠10mg「AFP」","1129009F2048","","","8.5","3.0"
"ゾルピデム酒石酸塩錠10mg「DSEP」","1129009F2064","","","8.6","3.3"
"ゾルピデム酒石酸塩錠10mg「NP」","1129009F2145","","","8.6","3.4"
"ゾルピデム酒石酸塩錠10mg「TCK」","1129009F2161","","","8.6","3.3"
"ゾルピデム酒石酸塩錠10mg「YD」","1129009F2170","","","8.6","3.3"
"ゾルピデム酒石酸塩錠10mg「ZE」","1129009F2188","","","8.6","3.4"
"ゾルピデム酒石酸塩錠10mg「アメル」","1129009F2200","","","8.6","3.4"
"ゾルピデム酒石酸塩錠10mg「オーハラ」","1129009F2218","","","8.6","3.4"
"ゾルピデム酒石酸塩錠10mg「杏林」","1129009F2226","","","8.6","3.4"
"ゾルピデム酒石酸塩錠10mg「ケミファ」","1129009F2234","","","8.6","3.3"
"ゾルピデム酒石酸塩錠10mg「サワイ」","1129009F2242","","","8.6","3.3"
"ゾルピデム酒石酸塩錠10mg「トーワ」","1129009F2285","","","8.7","3.3"
"ゾルピデム酒石酸塩錠10mg「日医工」","1129009F2293","","","7.1","3.2"
"ゾルピデム酒石酸塩錠10mg「明治」","1129009F2331","","","8.6","3.2"
"ゾルピデム酒石酸塩錠10mg「クニヒロ」","1129009F2340","","","8.6","3.2"
"ゾルピデム酒石酸塩錠10mg「NPI」","1129009F2366","","","8.6","3.4"
"ゾルピデム酒石酸塩錠10mg「NIG」","1129009F2374","","","8.6","3.2"
"ゾルピデム酒石酸塩OD錠5mg「サワイ」","1129009F3044","","","6.5","2.7"
"ゾルピデム酒石酸塩OD錠5mg「トーワ」","1129009F3060","","","7.0","3.4"
"ゾルピデム酒石酸塩OD錠5mg「日医工」","1129009F3079","","","6.5","2.5"
"ゾルピデム酒石酸塩OD錠10mg「サワイ」","1129009F4040","","","8.5","3.3"
"ゾルピデム酒石酸塩OD錠10mg「トーワ」","1129009F4067","","","9.0","4.2"
"ゾルピデム酒石酸塩OD錠10mg「日医工」","1129009F4075","","","8.0","3.3"
"エスゾピクロン錠1mg「DSEP」","1129010F1036","","","6.1","2.8"
"エスゾピクロン錠1mg「NPI」","1129010F1052","","","6.44","3.1"
"エスゾピクロン錠1mg「TCK」","1129010F1060","","","6.6","3.2"
"エスゾピクロン錠1mg「YD」","1129010F1079","","","6.1","2.8"
"エスゾピクロン錠1mg「アメル」","1129010F1087","","","6.4","3.1"
"エスゾピクロン錠1mg「杏林」","1129010F1095","","","6.6","3.2"
"エスゾピクロン錠1mg「ケミファ」","1129010F1109","","","6.44","3.1"
"エスゾピクロン錠1mg「サワイ」","1129010F1117","","","6.5","3.2"
"エスゾピクロン錠1mg「トーワ」","1129010F1125","","","6.1","2.8"
"エスゾピクロン錠1mg「ニプロ」","1129010F1141","","","6.6","3.2"
"エスゾピクロン錠1mg「明治」","1129010F1150","","","6.1","2.7"
"エスゾピクロン錠1mg「日医工」","1129010F1168","","","6.1","2.8"
"エスゾピクロン錠2mg「DSEP」","1129010F2032","","","6.1","2.8"
"エスゾピクロン錠2mg「NPI」","1129010F2059","","","6.44","3.1"
"エスゾピクロン錠2mg「TCK」","1129010F2067","","","6.6","3.2"
"エスゾピクロン錠2mg「YD」","1129010F2075","","","6.1","2.8"
"エスゾピクロン錠2mg「アメル」","1129010F2083","","","6.4","3.1"
"エスゾピクロン錠2mg「杏林」","1129010F2091","","","6.6","3.2"
"エスゾピクロン錠2mg「ケミファ」","1129010F2105","","","6.44","3.1"
"エスゾピクロン錠2mg「サワイ」","1129010F2113","","","6.5","3.2"
"エスゾピクロン錠2mg「トーワ」","1129010F2121","","","6.1","2.8"
"エスゾピクロン錠2mg「ニプロ」","1129010F2148","","","6.6","3.2"
"エスゾピクロン錠2mg「明治」","1129010F2156","","","6.1","2.8"
"エスゾピクロン錠2mg「日医工」","1129010F2164","","","6.1","2.8"
"エスゾピクロン錠3mg「DSEP」","1129010F3039","","","6.1","2.8"
"エスゾピクロン錠3mg「NPI」","1129010F3055","","","6.44","3.1"
"エスゾピクロン錠3mg「TCK」","1129010F3063","","","6.6","3.2"
"エスゾピクロン錠3mg「YD」","1129010F3071","","","6.1","2.8"
"エスゾピクロン錠3mg「アメル」","1129010F3080","","","6.4","3.1"
"エスゾピクロン錠3mg「杏林」","1129010F3098","","","6.6","3.2"
"エスゾピクロン錠3mg「ケミファ」","1129010F3101","","","6.44","3.1"
"エスゾピクロン錠3mg「サワイ」","1129010F3110","","","6.5","3.2"
"エスゾピクロン錠3mg「トーワ」","1129010F3128","","","6.1","2.8"
"エスゾピクロン錠3mg「ニプロ」","1129010F3144","","","6.6","3.2"
"エスゾピクロン錠3mg「明治」","1129010F3152","","","6.1","2.8"
"エスゾピクロン錠3mg「日医工」","1129010F3160","","","6.1","2.8"
"クランポール錠200mg","1131001F1035","","","9.5","3.9"
"アレビアチン錠25mg","1132002F1037","","","6.5","3.0"
"アレビアチン錠100mg","1132002F2041","","","9","3.4"
"プリミドン錠250mg「日医工」","1135002F1055","","","9.5","4.6"
"オスポロット錠50mg","1137001F1039","","","6.1","2.95"
"オスポロット錠200mg","1137001F2035","","","10.1","4.95"
"カルバマゼピン錠200mg「アメル」","1139002F1070","","","9.0","4.3"
"カルバマゼピン錠100mg「アメル」","1139002F2042","","","8.0","2.3"
"ランドセン錠0.5mg","1139003F1059","","","8","2.3"
"ランドセン錠1mg","1139003F2055","","","8","2.3"
"ランドセン錠2mg","1139003F3051","","","8","2.3"
"バルプロ酸ナトリウム錠100mg「アメル」","1139004F1088","","","8.1","3.6"
"デパケン錠100mg","1139004F1096","","","8.2","4.2"
"バルプロ酸ナトリウム錠100mg「DSP」","1139004F1126","","","8.1","4.3"
"バルプロ酸ナトリウム錠200mg「アメル」","1139004F2165","","","10.1","5.0"
"デパケン錠200mg","1139004F2173","","","9.2","4.9"
"バルプロ酸ナトリウム錠200mg「DSP」","1139004F2203","","","10.1","5.3"
"デパケンR錠100mg","1139004G1040","","","8.3","5.4"
"バルプロ酸ナトリウムSR錠100mg「アメル」","1139004G1067","","","8.4","5.7"
"バルプロ酸ナトリウム徐放錠A100mg「トーワ」","1139004G1075","","","8.4","5.6"
"バルプロ酸ナトリウムSR錠200mg「アメル」","1139004G2055","","","10.5","6.4"
"デパケンR錠200mg","1139004G2063","","","10.6","6.6"
"バルプロ酸ナトリウム徐放錠A200mg「トーワ」","1139004G2080","","","10.5","6.6"
"エクセグラン錠100mg","1139005F1023","","","8.1","3.7"
"ゾニサミド錠100mg「アメル」","1139005F1040","","","8.1","3.8"
"ゾニサミド錠100mgEX「KO」","1139005F1058","","","8","3.6"
"マイスタン錠5mg","1139006F1028","","","6.5","2.3"
"マイスタン錠10mg","1139006F2024","","","7","2.5"
"トピラマート錠50mg「アメル」","1139008F1035","","","7.1","3.2"
"トピラマート錠100mg「アメル」","1139008F2031","","","8.1","3.6"
"トピラマート錠25mg「アメル」","1139008F3038","","","5.6","2.6"
"ラモトリギン錠小児用2mg「サワイ」","1139009F1030","","","4.8","1.6"
"ラモトリギン錠小児用2mg「トーワ」","1139009F1048","","","5.0","2.0"
"ラモトリギン錠小児用2mg「日医工」","1139009F1056","","","4.8","1.5"
"ラモトリギン錠小児用2mg「アメル」","1139009F1072","","","4.8","1.6"
"ラモトリギン錠小児用5mg「サワイ」","1139009F2036","","","8.0","2.6"
"ラモトリギン錠小児用5mg「トーワ」","1139009F2044","8.0","4.0","","2.6"
"ラモトリギン錠小児用5mg「日医工」","1139009F2052","","","8.1","2.4"
"ラモトリギン錠小児用5mg「アメル」","1139009F2079","8.0","4.0","","2.6"
"ラモトリギン錠25mg「アメル」","1139009F3040","","","5.3","2.0"
"ラモトリギン錠25mg「サワイ」","1139009F3059","","","5.2","2.0"
"ラモトリギン錠25mg「トーワ」","1139009F3067","","","6.0","2.8"
"ラモトリギン錠25mg「日医工」","1139009F3075","","","4.8","2.0"
"ラモトリギン錠100mg「アメル」","1139009F4047","","","8.4","3.2"
"ラモトリギン錠100mg「サワイ」","1139009F4055","","","8.3","3.2"
"ラモトリギン錠100mg「トーワ」","1139009F4063","","","8.5","4.2"
"ラモトリギン錠100mg「日医工」","1139009F4071","","","8.4","3.2"
"イーケプラ錠250mg","1139010F1024","12.8","6.0","","4.6"
"レベチラセタム錠250mg「アメル」","1139010F1059","12.8","6.0","","4.7"
"レベチラセタム錠250mg「杏林」","1139010F1067","12.8","6.0","","4.5"
"レベチラセタム錠250mg「サワイ」","1139010F1075","","","12.8","4.6"
"レベチラセタム錠250mg「トーワ」","1139010F1091","12.8","6.0","","4.6"
"レベチラセタム錠250mg「日医工」","1139010F1105","","","12.9","4.6"
"レベチラセタム錠250mg「日新」","1139010F1113","12.9","6.1","",""
"レベチラセタム錠250mg「明治」","1139010F1130","12.9","6.1","","4.7"
"レベチラセタム錠250mg「サンド」","1139010F1148","12.6","6.6","","5.0"
"イーケプラ錠500mg","1139010F2020","16.4","7.7","","5.8"
"レベチラセタム錠500mg「アメル」","1139010F2055","16.4","7.6","","6.0"
"レベチラセタム錠500mg「杏林」","1139010F2063","16.5","7.7","","5.6"
"レベチラセタム錠500mg「サワイ」","1139010F2071","","","16.4","5.8"
"レベチラセタム錠500mg「トーワ」","1139010F2098","16.4","7.7","","5.8"
"レベチラセタム錠500mg「日医工」","1139010F2101","","","16.5","5.7"
"レベチラセタム錠500mg「日新」","1139010F2110","16.5","7.8","",""
"レベチラセタム錠500mg「明治」","1139010F2136","16.5","7.8","","5.8"
"レベチラセタム錠500mg「サンド」","1139010F2144","16.1","8.1","","6.3"
"レベチラセタム粒状錠250mg「サワイ」","1139010F3027","","","2.1","2.1"
"レベチラセタム粒状錠500mg「サワイ」","1139010F4023","","","2.1","2.1"
"ディアコミットカプセル250mg","1139011M1028","18.1","6.1","",""
"イノベロン錠100mg","1139012F1023","10.2","5.4","","4.0"
"イノベロン錠200mg","1139012F2020","15.2","6.2","","4.5"
"フィコンパ錠2mg","1139014F1022","","","6.6","3.1"
"フィコンパ錠4mg","1139014F2029","","","8.1","4.2"
"ビムパット錠50㎎","1139015F1027","10.4","4.9","","3.2"
"ビムパット錠100㎎","1139015F2023","13.1","6.1","","4.1"
"ブリィビアクト錠25mg","1139017F1026","8.9","5.0","","3.4"
"ブリィビアクト錠50mg","1139017F2022","11.7","6.6","","4.0"
"ラコサミド錠50mg「サワイ」","11390A4F1030","","","9.2","3.0"
"ラコサミド錠50mg「アメル」","11390A4F1073","10.4","4.9","","3.1"
"ラコサミド錠50mg「YD」","11390A4F1081","10.4","4.9","","3.1"
"ラコサミド錠50mg「日新」","11390A4F1090","10.4","4.9","",""
"ラコサミド錠50mg「ケミファ」","11390A4F1111","10.4","4.9","","3.3"
"ラコサミド錠100mg「サワイ」","11390A4F2037","","","12.2","3.5"
"ラコサミド錠100mg「アメル」","11390A4F2070","13.1","6.1","","4.1"
"ラコサミド錠100mg「YD」","11390A4F2088","13.1","6.1","","4.1"
"ラコサミド錠100mg「日新」","11390A4F2096","13.1","6.1","",""
"ラコサミド錠100mg「ケミファ」","11390A4F2118","13.1","6.1","","4.2"
"複合アレビアチン配合錠","1139100F1037","","","8","3.5"
"カロナール錠200","1141007F1063","","","10.0","3.3"
"アセトアミノフェン錠200mg「JG」","1141007F1152","","","9.0","3.5"
"アセトアミノフェン錠200mg「トーワ」","1141007F1187","","","9.0","3.5"
"アセトアミノフェン錠200mg「マルイシ」","1141007F1195","","","8.2","3.7"
"アセトアミノフェン錠200mg「三和」","1141007F1209","","","8.50","3.40"
"アセトアミノフェン錠200mg「TCK」","1141007F1225","","","9.0","3.6"
"アセトアミノフェン錠200mg「NIG」","1141007F1233","9.0","","","3.1"
"カロナール錠300","1141007F2027","","","10.0","4.0"
"アセトアミノフェン錠300mg「JG」","1141007F2043","","","10.0","4.1"
"アセトアミノフェン錠300mg「マルイシ」","1141007F2051","","","9.0","4.6"
"カロナール錠500","1141007F3023","15.0","8.0","","5.9"
"アセトアミノフェン錠500mg「マルイシ」","1141007F3031","15.5","8.0","","5.3"
"アセトアミノフェン坐剤小児用50mg「日新」","1141700J1126","","","8",""
"アセトアミノフェン坐剤小児用50mg「シオエ」","1141700J1134","","","","8"
"アセトアミノフェン坐剤小児用50mg「NIG」","1141700J1142","","","8",""
"アセトアミノフェン坐剤小児用100mg「日新」","1141700J2190","","","8",""
"アセトアミノフェン坐剤小児用100mg「シオエ」","1141700J2203","","","","8"
"アセトアミノフェン坐剤小児用100mg「NIG」","1141700J2211","","","8",""
"アセトアミノフェン坐剤小児用200mg「日新」","1141700J3161","","","9",""
"アセトアミノフェン坐剤小児用200mg「シオエ」","1141700J3170","","","","10"
"アセトアミノフェン坐剤小児用200mg「NIG」","1141700J3188","","","9",""
"インフリーSカプセル200mg","1145005M2026","13.1","8.1","",""
"インドメタシン坐剤25「NP」","1145700J2300","23.5","8.5","",""
"インドメタシン坐剤50「NP」","1145700J3390","26.0","9.5","",""
"ジクロフェナクNa錠25mg「YD」","1147002F1617","","","7","3.3"
"ジクロフェナクNa錠25mg「トーワ」","1147002F1625","","","7.1","3.4"
"ジクロフェナクNa錠25mg「TCK」","1147002F1641","","","7.1","3.5"
"ジクロフェナクNa錠25mg「サワイ」","1147002F1650","","","7.1","3.7"
"ジクロフェナクNa錠25mg「ツルハラ」","1147002F1668","","","7.1","3.8"
"ジクロフェナクNa錠25mg「NIG」","1147002F1692","","","7.1","3.9"
"ジクロフェナクNa坐剤12.5mg「日新」","1147700J1197","","","8",""
"ジクロフェナクNa坐剤25mg「日新」","1147700J2258","","","8",""
"ジクロフェナクNa坐剤50mg「日新」","1147700J3270","","","10",""
"ソランタール錠50mg","1148001F1059","","","6.1","2.9"
"ソランタール錠100mg","1148001F2101","","","7.1","3.1"
"ブルフェン錠100","1149001F1455","","","8.0","4.9"
"イブプロフェン錠100mg「TCK」","1149001F1498","","","8.5","5.3"
"イブプロフェン錠100mg「NIG」","1149001F1501","","","8.2","4.5"
"ブルフェン錠200","1149001F2168","","","10.2","5.8"
"イブプロフェン錠200mg「TCK」","1149001F2214","","","10.3","5.8"
"イブプロフェン錠200mg「NIG」","1149001F2222","","","10.3","5.8"
"ナイキサン錠100mg","1149007F1142","","","7.0","3.5"
"フロベン錠40","1149011F1076","","","7.4","4.0"
"ミグリステン錠20","1149013F1091","","","6.1","3.7"
"バキソカプセル10","1149017M1030","15.7","5.9","",""
"バキソカプセル20","1149017M2079","17.7","6.4","",""
"ロキソプロフェン錠60mg「EMEC」","1149019F1480","","","8.0","2.8"
"ロキソプロフェンナトリウム錠60mg「CH」","1149019F1498","","","9.0","3.3"
"ロキソニン錠60mg","1149019F1560","","","9.1","3.3"
"ロキソプロフェンナトリウム錠60mg「クニヒロ」","1149019F1579","","","9.0","3.2"
"ロキソプロフェンNa錠60mg「サワイ」","1149019F1587","","","8.0","4.3"
"ロキソプロフェンナトリウム錠60mg「日医工」","1149019F1595","","","8.0","3.0"
"ロキソプロフェンNa錠60mg「三和」","1149019F1617","","","9.0","3.1"
"ロキソプロフェンNa錠60mg「トーワ」","1149019F1625","","","9.0","3.2"
"ロキソプロフェンNa錠60mg「ツルハラ」","1149019F1633","","","8.0","3.0"
"ロキソプロフェンNa錠60mg「アメル」","1149019F1668","","","9.0","3.9"
"ロキソプロフェンNa錠60mg「NPI」","1149019F1692","","","9.1","3.5"
"ロキソプロフェンNa錠60mg「TCK」","1149019F1706","","","9.1","3.1"
"ロキソプロフェンNa錠60mg「OHA」","1149019F1714","","","8.0","3.1"
"ロキソプロフェンNa錠60mg「あすか」","1149019F1722","","","9.0","3.9"
"ロキソプロフェンNa錠60mg「武田テバ」","1149019F1730","","","9.0","3.1"
"ロキソプロフェンNa錠60mg「三恵」","1149019F1749","","","9.0","3.1"
"アルボ錠100㎎","1149026F1056","","","7","2.7"
"アルボ錠200㎎","1149026F2206","","","8","4.1"
"レリフェン錠400mg","1149027F1034","","","11.1","5.6"
"ペオン錠80","1149029F1033","","","7.6","3.4"
"ザルトプロフェン錠80mg「日医工」","1149029F1130","","","7.6","3.2"
"ザルトプロフェン錠80mg「YD」","1149029F1149","","","7","3.5"
"ザルトプロフェン錠80mg「サワイ」","1149029F1165","","","7.6","3.7"
"ザルトプロフェン錠80mg「杏林」","1149029F1181","","","7.6","3.5"
"モーバー錠100mg","1149031F1022","","","7.6","4.1"
"アクタリット錠100mg「サワイ」","1149031F1065","","","7.6","4.2"
"オステラック錠100","1149032F1035","","","7.1","3.5"
"エトドラク錠100mg「SW」","1149032F1132","","","7.1","3.9"
"オステラック錠200","1149032F2031","","","9.1","4.5"
"エトドラク錠200mg「SW」","1149032F2171","","","9.1","4.8"
